id,geo_point_2d,geo_shape,clave_cat,delegacion,perimetro,tipo,nom_id
10,"19.4441424478,-99.14600807","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1460080699949, 19.44414244783672]]}",003_048_10,Cuautémoc,B,Hotel,Moctezuma
11,"19.4219963186,-99.1437414652","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14374146521517, 19.42199631856425]]}",002_103_18,Cuautémoc,B,Hotel,Faro
12,"19.43990186,-99.14813347","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14813346999998, 19.43990186]]}",003_079_16,Cuautémoc,B,Hotel,La Paz
13,"19.43878785,-99.1490443182","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14904431817769, 19.43878784999821]]}",012_147_02,Cuautémoc,B,Hotel,Monaco
14,"19.4338441801,-99.1342731052","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13427310521516, 19.433844180050393]]}",001_010_01,Cuautémoc,A,Hotel,Holiday inn Zocalo Ciudad de México
15,"19.42413788,-99.1324515","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13245149999997, 19.42413788]]}",307_153_11,Cuautémoc,B,Hotel,San Lucas
16,"19.436811768,-99.1342853473","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13428534732718, 19.43681176800748]]}",004_092_29,Cuautémoc,A,Hotel,República
17,"19.4316993602,-99.1461913295","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14619132948, 19.43169936024323]]}",002_039_09,Cuautémoc,B,Museo,Secretaria de la Seguridad Pública del Distrito Fe
18,"19.4331161255,-99.1309438719","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13094387186607, 19.43311612548643]]}",006_021_01,Cuautémoc,A,Museo,Museo Nacional de las Culturas
19,"19.4317119617,-99.1269115285","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12691152854697, 19.43171196171833]]}",006_026_28,Cuautémoc,A,Museo,Alondiga La Merced
20,"19.4357307042,-99.1326583218","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13265832178054, 19.43573070424011]]}",004_098_26,Cuautémoc,A,Museo,La Caricatura
21,"19.43614459,-99.13945267","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13945266999997, 19.43614459]]}",004_098_01,Cuautémoc,A,Museo,Telégrafo
22,"19.4348361174,-99.1467786287","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14677862869364, 19.434836117365737]]}",002_015_01,Cuautémoc,B,Hotel,Fiesta Inn
23,"19.4390916028,-99.1493421468","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14934214677974, 19.43909160278728]]}",012_147_01,Cuautémoc,B,Hotel,La Fuente
24,"19.4285279152,-99.147008562","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14700856196961, 19.428527915246214]]}",002_067_19,Cuautémoc,B,Hotel,Fornos
25,"19.42477346,-99.12881894","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12881893999999, 19.42477346]]}",307_123_30,Cuautémoc,B,Hotel,Madrid
26,"19.4262321913,-99.1238893146","{""type"": ""Polygon"", ""coordinates"": [[[-99.12415022557565, 19.42805691641089], [-99.12406954875644, 19.428046349949632], [-99.12315198868194, 19.427926181062578], [-99.12362488873104, 19.42441008525366], [-99.12463900211675, 19.42456291770462], [-99.12460529591418, 19.424827211545736], [-99.12458801598733, 19.42495338023843], [-99.12455784280637, 19.425173687815743], [-99.12454003624076, 19.425274842177046], [-99.12451834043736, 19.42539801173653], [-99.12445315748563, 19.4257681434624], [-99.1243770548301, 19.426364953583327], [-99.1243092646266, 19.426875705908962], [-99.1242419441127, 19.427372235414058], [-99.12418061448123, 19.427816516410328], [-99.12415022557565, 19.42805691641089]]]}",323_064_01,Venustiano Carranza,B,Mercado,La Merced Nave Mayor
27,"19.4348360773,-99.1463945583","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14639455827341, 19.43483607725092]]}",002_016_01,Cuautémoc,B,Hotel,Hilton Centro Histórico
28,"19.4256899299,-99.1400384748","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14003847478479, 19.425689929861168]]}",001_076_17,Cuautémoc,B,Hotel,Playa Internacional
29,"19.4291936373,-99.1244027626","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12440276261265, 19.4291936372533]]}",323_145_10,Venustiano Carranza,B,Hotel,Tampico
30,"19.427530818,-99.1479200065","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14792000652658, 19.427530817995372]]}",002_068_13,Cuautémoc,B,Hotel,Villa Pal
31,"19.4242639147,-99.1311619613","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13116196130123, 19.42426391466724]]}",307_129_20,Cuautémoc,B,Hotel,Escorial
32,"19.4369607249,-99.1354098031","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13540980305315, 19.436960724866605]]}",004_101_20,Cuautémoc,A,Hotel,"Habana, S.A."
33,"19.4341938751,-99.1352210651","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13522106507192, 19.43419387505822]]}",001_007_04,Cuautémoc,A,Hotel,Washingtonw
34,"19.438545231,-99.1481820852","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1481820852253, 19.438545230986023]]}",003_103_23,Cuautémoc,A,Hotel,Managua
35,"19.43811894,-99.13770698","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13770697999998, 19.43811894]]}",004_087_01,Cuautémoc,A,Hotel,La Marina
36,"19.4425777264,-99.1292760518","{""type"": ""Polygon"", ""coordinates"": [[[-99.12888547387081, 19.44214297377761], [-99.12951934992375, 19.44219493036674], [-99.12951797430459, 19.442216070194146], [-99.1295256754063, 19.442216523294146], [-99.129613985823, 19.442221697747907], [-99.12972954044307, 19.442228476100333], [-99.12972922516319, 19.442233496924857], [-99.12972716165446, 19.442265734945153], [-99.12972367468996, 19.442320277702645], [-99.12972291996303, 19.442332143462192], [-99.12972028326166, 19.442373303376], [-99.12972826989045, 19.44237403646746], [-99.12971770482503, 19.442493280419335], [-99.12971490712987, 19.44253073784539], [-99.12969416778988, 19.44280872468053], [-99.12968160191207, 19.44297723793978], [-99.12965444319364, 19.44297595007196], [-99.12944791129439, 19.442966145863892], [-99.12944578323219, 19.442988992274568], [-99.12883167065412, 19.44296022054227], [-99.12884786801737, 19.44269379174178], [-99.12888547387081, 19.44214297377761]]]}",005_077_01,Cuauhtémoc,B,Mercado,Granaditas
37,"19.4271233834,-99.125111772","{""type"": ""Polygon"", ""coordinates"": [[[-99.12511921569288, 19.427506729847458], [-99.12498809233955, 19.427489830931812], [-99.12510388609296, 19.426741581011797], [-99.12523566631052, 19.42675583409067], [-99.12511921569288, 19.427506729847458]]]}",323_065_01,Venustiano Carranza,B,Mercado,Dulceria
38,"19.4439555857,-99.1345196425","{""type"": ""Polygon"", ""coordinates"": [[[-99.13510990321612, 19.443750427142227], [-99.13506396689247, 19.444264473127404], [-99.13414033160765, 19.444182846227694], [-99.13405369593616, 19.444175145766085], [-99.13403407654224, 19.444173399362384], [-99.13392631743308, 19.44416380767677], [-99.1339359115052, 19.444077208133425], [-99.13394520995172, 19.443993146070024], [-99.13396692532878, 19.443797001253174], [-99.1339729222739, 19.443751353798316], [-99.13397597318144, 19.44372813725894], [-99.13397976773977, 19.44369929493096], [-99.13398079742468, 19.443691438691847], [-99.1339872615287, 19.443642251413667], [-99.13405012646687, 19.443648380736462], [-99.13510990321612, 19.443750427142227]]]}",004_106_01,Cuauhtémoc,B,Mercado,La Lagunilla Comestibles
39,"19.4369818158,-99.1426877718","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14268777176564, 19.43698181579591]]}",003_095_04,Cuautémoc,A,Museo,Museo Nacional de La Estampa
40,"19.4371002964,-99.1504966035","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15049660347846, 19.437100296439738]]}",011_291_35,Cuautémoc,B,Hotel,"Servicios Hoteleros de tlaxcala, S.A. DE C.V."
41,"19.43204901,-99.13440135","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13440134999998, 19.43204901]]}",001_024_09,Cuautémoc,A,Hotel,Gran Hotel de la Ciudad de México
42,"19.4368553413,-99.1196435872","{""type"": ""MultiPoint"", ""coordinates"": [[-99.11964358716959, 19.436855341325124]]}",018_337_01,Venustiano Carranza,B,Hotel,HOTEL RRO MI1O
43,"19.4343713052,-99.1291939496","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1291939495848, 19.434371305201473]]}",006_003_19,Cuautémoc,A,Hotel,Valencia
44,"19.4350304786,-99.1262913343","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12629133433414, 19.435030478602457]]}",005_133_04,Cuautémoc,B,Hotel,Niza
45,"19.4438839913,-99.1361724518","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13617245175695, 19.44388399127549]]}",004_040_11,Cuautémoc,B,Hotel,Guadalajara
46,"19.426941681,-99.1326869759","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1326869759449, 19.426941680964575]]}",006_090_12,Cuautémoc,A,Hotel,Castropol
47,"19.439101835,-99.13175662","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13175662002294, 19.439101835048227]]}",004_081_31,Cuautémoc,A,Hotel,Bolivia
48,"19.4454876095,-99.1454023878","{""type"": ""Polygon"", ""coordinates"": [[[-99.14575785570548, 19.445303204429774], [-99.1457340968531, 19.445434566484238], [-99.14570039237336, 19.44562088621485], [-99.14569607689626, 19.445644762013824], [-99.14569445740268, 19.445653710923033], [-99.14568746499276, 19.44569239621859], [-99.14567317533029, 19.445771347087625], [-99.14567249894772, 19.445775121703882], [-99.14562264578674, 19.445766771814988], [-99.14559586768227, 19.44576228961593], [-99.14556049355129, 19.445756370575516], [-99.14553401055257, 19.44575193355384], [-99.14549845555804, 19.445745978358584], [-99.14547062080649, 19.445741315409382], [-99.1454345898452, 19.445735287902615], [-99.14540791646566, 19.445730814718654], [-99.14538423217944, 19.44572685661559], [-99.14537270417816, 19.445724922751932], [-99.1453448027977, 19.445720250745232], [-99.14530782942511, 19.445714060554995], [-99.14528347878617, 19.44570998496495], [-99.14524535357108, 19.445703595956964], [-99.14523206448261, 19.445701372902867], [-99.14517397708211, 19.445691649293565], [-99.14516805601387, 19.445690655245258], [-99.14512389550595, 19.445683263119452], [-99.14512389550595, 19.445683263119445], [-99.14504230471886, 19.44566959941061], [-99.14504230471886, 19.4456695994106], [-99.14504893475826, 19.445636729655327], [-99.14505515518422, 19.445605864592945], [-99.14507354019045, 19.44551468713892], [-99.1451104434965, 19.44533172720289], [-99.14512358920483, 19.445266574644428], [-99.14513700163128, 19.445200067560563], [-99.14515100463244, 19.44520239907162], [-99.14518110490063, 19.44520739646431], [-99.1452064169239, 19.445211598608267], [-99.14524327595268, 19.445217725593274], [-99.14526760748319, 19.44522176506528], [-99.14530764598969, 19.44522841617697], [-99.14533355773916, 19.445232726738915], [-99.14539483398931, 19.445242902193684], [-99.14545958482132, 19.445253655981315], [-99.14552112762856, 19.445263885607265], [-99.14558364142165, 19.445274268842564], [-99.14564764976672, 19.445284896051106], [-99.14570948769888, 19.445295170799756], [-99.14575785570548, 19.445303204429774]]]}",003_045_01,Cuauhtémoc,B,Mercado,Martínez de la Torre Anexo
49,"19.4264953358,-99.1248854383","{""type"": ""Polygon"", ""coordinates"": [[[-99.1252494798907, 19.42663478480781], [-99.12481929853314, 19.426604984911798], [-99.12465946009907, 19.426582263543427], [-99.1245192100711, 19.426562327957626], [-99.12456842521019, 19.426323955034835], [-99.12527845188532, 19.426456657860356], [-99.1252494798907, 19.42663478480781]]]}",323_139_01,Venustiano Carranza,B,Mercado,Dulceria Don Goloso
50,"19.427412415,-99.1425547699","{""type"": ""Polygon"", ""coordinates"": [[[-99.14272480501735, 19.42786140101947], [-99.14227429773678, 19.42781415678145], [-99.14229458082265, 19.427694154627478], [-99.14229760978047, 19.42767624041886], [-99.14232215205132, 19.427531042354712], [-99.1423702157885, 19.42724672689073], [-99.1423002843466, 19.427238057298897], [-99.14233693430928, 19.427023933544028], [-99.14254073176419, 19.426985626926168], [-99.14283901773723, 19.427024352837524], [-99.14275311532016, 19.42765392245985], [-99.14273036988997, 19.427820611472296], [-99.14272480501735, 19.42786140101947]]]}",002_064_05,Cuauhtémoc,B,Mercado,San Juan No.78
51,"19.4357182545,-99.1308788314","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1308788314316, 19.4357182544746]]}",005_129_16,Cuautémoc,A,Museo,Antiguo Colegio de San Idelfonso
52,"19.4363816901,-99.1293374805","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12933748045579, 19.436381690132936]]}",005_124_05,Cuautémoc,A,Museo,Las Constituciones
53,"19.4419740424,-99.1401449131","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14014491305316, 19.441974042414987]]}",003_069_16,Cuautémoc,B,Hotel,Magnolia A
54,"19.4263645964,-99.1399088724","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13990887239491, 19.42636459637968]]}",001_076_12,Cuautémoc,B,Hotel,"Cadillac, S.A. DE C.V."
55,"19.4406333099,-99.1378562996","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1378562996, 19.44063330989114]]}",004_067_18,Cuautémoc,B,Hotel,Plaza Garibaldi
56,"19.4452114301,-99.1425281852","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14252818521516, 19.445211430058997]]}",003_043_01,Cuautémoc,B,Hotel,Morelia
57,"19.4303913751,-99.1465372648","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1465372647848, 19.43039137510878]]}",002_048_10,Cuautémoc,B,Hotel,Conde
58,"19.4244380424,-99.1306732022","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1306732021873, 19.42443804243429]]}",307_124_19,Cuautémoc,B,Hotel,Unico
59,"19.4275850427,-99.1397624613","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13976246133637, 19.42758504271105]]}",001_061_03,Cuautémoc,A,Hotel,Señorial
60,"19.4274816595,-99.1285626779","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12856267794581, 19.427481659495356]]}",006_086_10,Cuautémoc,A,Hotel,Oviedo
61,"19.4343847692,-99.125125489","{""type"": ""Polygon"", ""coordinates"": [[[-99.12576690437209, 19.43479365215103], [-99.12439047618325, 19.434619383660873], [-99.12449000211754, 19.433974547029383], [-99.12585666771942, 19.434150266475957], [-99.12576690437209, 19.43479365215103]]]}",005_140_01,Cuauhtémoc,B,Mercado,Mixcalco
62,"19.4377973772,-99.1504216904","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15042169044048, 19.437797377179038]]}",011_034_16,Cuautémoc,B,Hotel,Ramada Reforma
63,"19.4339116282,-99.1468371035","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14683710347339, 19.43391162824855]]}",002_015_07,Cuautémoc,B,Hotel,Calvin
64,"19.44281242,-99.13974599","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13974598999997, 19.44281242]]}",003_053_01,Cuautémoc,B,Hotel,San Martin
65,"19.425466805,-99.1380880561","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13808805610125, 19.42546680499688]]}",001_073_20,Cuautémoc,B,Hotel,Mar
66,"19.4331350004,-99.1382989213","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13829892133639, 19.433135000409568]]}",001_021_14,Cuautémoc,A,Hotel,Coliseo
67,"19.4434657626,-99.1247401574","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12474015738732, 19.443465762628737]]}",005_057_01,Cuautémoc,B,Hotel,Sevilla
68,"19.4273142523,-99.1255788881","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12557888806421, 19.427314252269024]]}",006_082_02,Cuautémoc,A,Hotel,Anpudia
69,"19.43558625,-99.12965746","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12965745999998, 19.43558625]]}",005_129_08,Cuautémoc,A,Hotel,Templo Mayor
70,"19.43712772,-99.1378899","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1378899, 19.43712772]]}",004_090_02,Cuautémoc,A,Hotel,Congreso
71,"19.4243073771,-99.1314527126","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13145271262276, 19.424307377107965]]}",307_129_17,Cuautémoc,B,Hotel,Recreo
72,"19.4454901265,-99.1471012862","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1471012861979, 19.445490126481246]]}",003_046_14,Cuautémoc,B,Hotel,Atoyac
73,"19.4218384283,-99.1267852296","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12678522956453, 19.42183842830957]]}",007_005_07,Cuautémoc,B,Hotel,Jaen
74,"19.4332681257,-99.1361403471","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13614034711536, 19.433268125698316]]}",001_023_17,Cuautémoc,A,Museo,Estanquillo
75,"19.4344695016,-99.1318346523","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13183465227183, 19.434469501637523]]}",005_145_14,Cuautémoc,A,Museo,Templo Mayor
76,"19.4367072434,-99.1424407474","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14244074743257, 19.436707243375373]]}",003_095_02,Cuautémoc,A,Museo,Franz Mayer
77,"19.4254536359,-99.1226996335","{""type"": ""Polygon"", ""coordinates"": [[[-99.1233504783557, 19.425209271741444], [-99.12333619249657, 19.425311799447257], [-99.12329022000293, 19.42530603607834], [-99.1232395251073, 19.425662264035108], [-99.12322468600254, 19.425768792058804], [-99.123274094638, 19.425775116151815], [-99.12325242814669, 19.425927363434447], [-99.12318361214332, 19.425917919190017], [-99.12319643693222, 19.425833740918286], [-99.12316763504029, 19.42583008572214], [-99.12302684273317, 19.42581220778579], [-99.12249903365868, 19.425745200716644], [-99.12247120264855, 19.42574166304231], [-99.12242527767427, 19.42573583625435], [-99.12239625689958, 19.42573215379163], [-99.12227508161988, 19.42571676342737], [-99.12224503289323, 19.425712954263044], [-99.12219966950661, 19.425707190768772], [-99.12217011572835, 19.42570343589595], [-99.12212473330757, 19.42569768140876], [-99.1220932473533, 19.42569368222757], [-99.12207240266345, 19.425691031190343], [-99.12208417224231, 19.42560398106843], [-99.1220879015146, 19.42557633994333], [-99.12210917066778, 19.42541896342887], [-99.12212009137184, 19.425338116975063], [-99.122141207875, 19.425181815031618], [-99.12214477497452, 19.42515542005873], [-99.1221564968031, 19.42506866791727], [-99.1222082372654, 19.4250747490522], [-99.12225368625884, 19.425080088137246], [-99.12228625724816, 19.425083906949023], [-99.12240558586085, 19.42509792423561], [-99.12243342635227, 19.425101191010683], [-99.12255820887134, 19.42511585068742], [-99.12258697262634, 19.425119226028674], [-99.1227076528648, 19.42513339696315], [-99.12273635951541, 19.42513677226696], [-99.12286026642292, 19.425151323159707], [-99.12288643174104, 19.42515439982203], [-99.12295728465226, 19.425162715871743], [-99.12307840278775, 19.42517694084866], [-99.12311097381304, 19.425180768543427], [-99.12330256419641, 19.42520326409036], [-99.1233504783557, 19.425209271741444]]]}",323_101_01,Venustiano Carranza,B,Mercado,La Merced Nave Menor
78,"19.4430578017,-99.13614342","{""type"": ""Polygon"", ""coordinates"": [[[-99.13687784285361, 19.44356031290679], [-99.13560208329348, 19.443436959797815], [-99.13546154950127, 19.44342473554058], [-99.13531779862744, 19.443410009203053], [-99.13533840414985, 19.443184587540383], [-99.13534162851656, 19.443149369638558], [-99.13534304991681, 19.44313380151912], [-99.13534831575076, 19.44307624282393], [-99.13535339080217, 19.443020706898945], [-99.13535555627982, 19.442997029631588], [-99.1353606504192, 19.44294121376747], [-99.13536793861536, 19.442861576153753], [-99.1353762666314, 19.44277047014268], [-99.13538344035666, 19.44269198839471], [-99.13539348547064, 19.442582081436562], [-99.13566782444147, 19.442590481819252], [-99.13566666021518, 19.442605453981727], [-99.13623763067861, 19.442633644572396], [-99.13639765094523, 19.442641545950156], [-99.13694771715865, 19.442668710379174], [-99.13687784285361, 19.44356031290679]]]}",004_107_01,Cuauhtémoc,B,Mercado,La Lagunilla
79,"19.4299360348,-99.1445730919","{""type"": ""Polygon"", ""coordinates"": [[[-99.14506564715765, 19.430182995466375], [-99.14500414768231, 19.430175971458777], [-99.14495782081039, 19.43017067406616], [-99.14490487853665, 19.430164626339497], [-99.14486449125711, 19.430160006920875], [-99.14483775360338, 19.43015695140716], [-99.14479886074226, 19.43015250373262], [-99.14474877404984, 19.430146781401557], [-99.1447255011579, 19.4301441236306], [-99.14467238756802, 19.430138048724302], [-99.14464956205187, 19.43013543615017], [-99.14459473512545, 19.430129171373462], [-99.14449054493974, 19.430117265540705], [-99.1443989383062, 19.43010679703772], [-99.14430420007888, 19.430095966884036], [-99.14416443908544, 19.43007999276612], [-99.14408905211378, 19.43007137736433], [-99.14401983317529, 19.430063458047393], [-99.14406864993782, 19.429687601252706], [-99.14493832974324, 19.429791675244083], [-99.14513844956328, 19.42980038653728], [-99.14507731575442, 19.43012170760638], [-99.14506564715765, 19.430182995466375]]]}",002_047_11,Cuauhtémoc,B,Mercado,San Juan
80,"19.4313297575,-99.1416730617","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14167306174176, 19.43132975753632]]}",002_028_04,Cuautémoc,B,Hotel,Suite Victoria
81,"19.42262452,-99.15107339","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15107338999997, 19.42262452]]}",002_096_02,Cuautémoc,B,Hotel,Imperio
82,"19.4220369889,-99.120775543","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12077554304301, 19.422036988933655]]}",423_013_18,Venustiano Carranza,B,Hotel,Cordoba
83,"19.4342251093,-99.1449434443","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14494344433922, 19.434225109319293]]}",002_018_03,Cuautémoc,B,Hotel,San Francisco
84,"19.4426697365,-99.1426738122","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14267381217215, 19.442669736450366]]}",003_056_09,Cuautémoc,B,Hotel,Las Americas
85,"19.4301182936,-99.1228328972","{""type"": ""MultiPoint"", ""coordinates"": [[-99.12283289716962, 19.4301182935961]]}",323_034_03,Venustiano Carranza,B,Hotel,Roma
86,"19.4244645173,-99.1433325213","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14333252130632, 19.42446451731195]]}",002_085_04,Cuautémoc,B,Hotel,San Juan
87,"19.4397239469,-99.1461558557","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14615585565568, 19.43972394688196]]}",003_075_19,Cuautémoc,B,Hotel,Astoria
88,"19.4324763822,-99.1373385944","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1373385943544, 19.432476382222312]]}",001_022_08,Cuautémoc,A,Hotel,Lafayett
89,"19.4373498816,-99.1421604061","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14216040609112, 19.437349881558568]]}",003_096_04,Cuautémoc,A,Hotel,Hidalgo
90,"19.4241136598,-99.1428624974","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14286249738733, 19.424113659793274]]}",002_086_05,Cuautémoc,B,Hotel,Marlyn
91,"19.42981826,-99.14607091","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14607091, 19.42981826]]}",002_059_01,Cuautémoc,B,Hotel,Pugibet
92,"19.4383554723,-99.1327563513","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13275635133638, 19.438355472334532]]}",004_082_19,Cuautémoc,A,Hotel,Tuxpan
93,"19.4352977961,-99.1412872705","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14128727047044, 19.435297796130335]]}",002_007_01,Cuautémoc,A,Museo,Palacio de Bellas Artes
94,"19.4338001466,-99.1463273233","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14632732327628, 19.433800146609766]]}",002_016_02,Cuautémoc,B,Museo,Arte Popular
95,"19.4370305998,-99.1214093113","{""type"": ""MultiPoint"", ""coordinates"": [[-99.1214093112911, 19.437030599821]]}",318_114_01,Venustiano Carranza,B,Hotel,Seoul
96,"19.4236741422,-99.1558164031","{""type"": ""MultiPoint"", ""coordinates"": [[-99.15581640305822, 19.423674142199914]]}",010_015_08,Cuautémoc,B,Hotel,Puebla
97,"19.4440005647,-99.1372278043","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13722780429484, 19.44400056473137]]}",004_038_04,Cuautémoc,B,Museo,Galeria El Trébol
98,"19.4409812032,-99.1401537957","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14015379565568, 19.44098120318983]]}",003_069_08,Cuautémoc,B,Hotel,"Riva Palacio, S.A. DE C.V."
99,"19.4438918423,-99.1402516182","{""type"": ""MultiPoint"", ""coordinates"": [[-99.14025161824809, 19.443891842299102]]}",003_052_18,Cuautémoc,B,Hotel,Drigales
100,"19.4337759404,-99.1378211234","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13782112343796, 19.433775940429044]]}",001_014_06,Cuautémoc,A,Hotel,Ritz Ciudada de México
101,"19.4340314709,-99.1362576859","{""type"": ""MultiPoint"", ""coordinates"": [[-99.13625768586326, 19.43403147085432]]}",001_013_01,Cuautémoc,A,Hotel,Gillow
